ZIP,LAT,LON,POP_TOT
34239,27.311,-82.52,15800.0
27406,36.001,-79.764,50336.0
42503,37.165,-84.539,18828.0
48324,42.597,-83.394,18193.0
48209,42.307,-83.117,38895.0
30308,33.771,-84.378,11796.0
44223,41.17,-81.531,17546.0
46224,39.795,-86.253,35166.0
74107,36.115,-96.032,20284.0
76667,31.647,-96.476,10942.0
54501,45.658,-89.349,20241.0
77422,28.97,-95.582,14097.0
30277,33.375,-84.649,15488.0
33778,27.884,-82.798,13639.0
75236,32.688,-96.927,10348.0
33704,27.796,-82.634,16714.0
90606,33.977,-118.066,32143.0
10510,41.139,-73.835,9963.0
81401,38.395,-107.873,26168.0
22311,38.834,-77.122,16665.0
98122,47.61,-122.303,28790.0
60426,41.606,-87.667,47649.0
33534,27.805,-82.372,7496.0
57702,44.032,-103.415,29375.0
55042,44.988,-92.91,7583.0
68137,41.206,-96.119,25099.0
47805,39.546,-87.326,12320.0
92083,33.175,-117.243,62030.0
21853,38.205,-75.704,12093.0
15129,40.293,-79.996,11458.0
60640,41.972,-87.664,74030.0
22553,38.191,-77.682,25027.0
40361,38.208,-84.227,17558.0
12180,42.749,-73.6,52907.0
49007,42.302,-85.587,11959.0
21795,39.58,-77.821,8238.0
77304,30.32,-95.529,15690.0
98177,47.746,-122.368,18920.0
90015,34.039,-118.266,15134.0
43617,41.664,-83.728,7808.0
40517,37.984,-84.488,35767.0
38117,35.115,-89.905,25180.0
35085,32.976,-86.741,8089.0
90038,34.088,-118.327,32557.0
48026,42.538,-82.947,15297.0
60465,41.699,-87.838,17198.0
84315,41.175,-112.127,6290.0
60565,41.73,-88.12,40640.0
75755,32.637,-95.098,6302.0
71343,31.559,-91.872,8092.0
36870,32.484,-85.107,11303.0
90210,34.1,-118.414,21396.0
54981,44.323,-89.132,15127.0
11713,40.774,-72.945,9160.0
73942,36.768,-101.514,12169.0
70809,30.393,-91.067,19397.0
72227,34.775,-92.375,12164.0
20874,39.137,-77.292,49224.0
21048,39.5,-76.924,10345.0
48146,42.243,-83.181,39775.0
62966,37.773,-89.352,20166.0
90057,34.062,-118.278,43986.0
75801,31.824,-95.633,36957.0
57105,43.519,-96.733,24644.0
60115,41.897,-88.749,42372.0
77489,29.595,-95.506,32690.0
49442,43.244,-86.112,45946.0
48040,42.91,-82.482,9684.0
24054,36.674,-79.704,6522.0
92201,33.714,-116.237,56296.0
48768,43.372,-83.58,10099.0
14470,43.205,-78.058,8953.0
70663,30.277,-93.389,27172.0
49866,46.506,-87.586,7817.0
92624,33.459,-117.665,7445.0
36609,30.661,-88.163,23882.0
66606,39.063,-95.729,12206.0
10029,40.792,-73.945,75390.0
97060,45.535,-122.374,17910.0
39120,31.537,-91.343,34693.0
67114,38.068,-97.292,20643.0
18705,41.272,-75.842,15485.0
13760,42.133,-76.085,43954.0
48035,42.557,-82.908,34456.0
55404,44.962,-93.262,27282.0
92284,34.16,-116.426,20477.0
43232,39.921,-82.87,39981.0
45429,39.684,-84.163,26823.0
10509,41.422,-73.58,18913.0
28752,35.713,-82.058,29221.0
48509,43.03,-83.601,10074.0
89027,36.803,-114.138,9441.0
70114,29.935,-90.032,28385.0
37217,36.113,-86.667,28293.0
10038,40.709,-74.003,15574.0
32566,30.491,-86.873,20967.0
33334,26.183,-80.134,30847.0
29072,33.991,-81.264,30854.0
91006,34.137,-118.03,30010.0
18914,40.289,-75.207,17764.0
33523,28.43,-82.222,17388.0
77063,29.736,-95.523,27200.0
22801,38.412,-78.887,33743.0
84663,40.21,-111.448,21436.0
77493,29.853,-95.831,14608.0
38237,36.363,-88.834,15715.0
48433,43.075,-83.867,25121.0
15136,40.466,-80.107,22537.0
62901,37.682,-89.17,30069.0
32824,28.385,-81.335,19327.0
29042,33.316,-81.151,6364.0
25702,38.435,-82.314,8269.0
93063,34.297,-118.686,49011.0
48067,42.491,-83.14,25215.0
78253,29.469,-98.788,9839.0
14615,43.204,-77.657,16158.0
59047,45.667,-110.557,12103.0
29626,34.456,-82.747,11855.0
23513,36.889,-76.238,29181.0
49321,43.067,-85.68,15613.0
87120,35.157,-106.688,44245.0
40215,38.192,-85.785,25137.0
54521,45.929,-89.25,7898.0
52353,41.299,-91.711,9130.0
94109,37.794,-122.422,56322.0
33462,26.581,-80.075,26221.0
19968,38.774,-75.287,6552.0
71655,33.634,-91.753,15356.0
60827,41.651,-87.636,33209.0
11566,40.652,-73.552,35606.0
32164,29.516,-81.237,14297.0
35055,34.151,-86.759,18711.0
15132,40.34,-79.843,26131.0
77665,29.824,-94.405,6667.0
60646,41.993,-87.76,27016.0
32446,30.845,-85.231,9601.0
43543,41.606,-84.645,8237.0
53558,43.005,-89.294,9025.0
92626,33.679,-117.905,48200.0
33308,26.19,-80.109,28554.0
14611,43.147,-77.646,19774.0
92801,33.845,-117.952,60541.0
33418,26.858,-80.184,27391.0
13339,42.937,-74.659,6787.0
99206,47.63,-117.259,31711.0
27597,35.849,-78.301,17178.0
63136,38.743,-90.26,53604.0
97355,44.532,-122.821,26535.0
19136,40.04,-75.021,40080.0
55311,45.106,-93.497,19827.0
64111,39.058,-94.594,17745.0
91709,33.943,-117.726,66734.0
33156,25.668,-80.297,31450.0
95354,37.639,-120.965,27115.0
27712,36.096,-78.906,17760.0
91107,34.159,-118.087,32360.0
70363,29.518,-90.698,26476.0
83605,43.682,-116.651,26141.0
76058,32.464,-97.416,14447.0
37211,36.067,-86.723,64753.0
39567,30.363,-88.545,13756.0
20024,38.884,-77.023,11795.0
33064,26.279,-80.115,52892.0
95366,37.751,-121.132,12627.0
74063,36.151,-96.2,28409.0
64133,39.014,-94.456,34025.0
31901,32.467,-84.98,8072.0
78380,27.776,-97.726,23353.0
21742,39.678,-77.653,25053.0
94010,37.57,-122.366,40328.0
33135,25.767,-80.235,35712.0
40223,38.258,-85.54,21970.0
19446,40.231,-75.302,51722.0
10706,40.99,-73.866,9187.0
83686,43.499,-116.604,31213.0
97487,43.988,-123.388,6687.0
33056,25.949,-80.244,33223.0
96007,40.449,-122.307,21400.0
76384,34.161,-99.32,13963.0
80033,39.774,-105.104,25317.0
86404,34.624,-114.32,12986.0
77591,29.395,-94.999,9964.0
59301,46.254,-105.647,11294.0
78629,29.495,-97.455,11255.0
48439,42.916,-83.629,39708.0
95624,38.434,-121.306,38521.0
45005,39.529,-84.29,28404.0
44110,41.564,-81.571,26536.0
33150,25.852,-80.207,26355.0
20147,39.035,-77.485,29767.0
68164,41.297,-96.107,25178.0
39553,30.424,-88.657,16479.0
44515,41.101,-80.762,28774.0
56347,45.976,-94.863,6456.0
15133,40.323,-79.862,6816.0
60605,41.858,-87.616,12423.0
33813,27.943,-81.922,35411.0
20005,38.905,-77.032,10610.0
13210,43.031,-76.126,27352.0
23060,37.657,-77.537,26899.0
78362,27.85,-97.203,10223.0
24073,37.123,-80.421,25200.0
17036,40.268,-76.71,18826.0
76084,32.426,-97.09,7237.0
74851,35.437,-97.082,8762.0
94552,37.723,-122.022,13202.0
30276,33.273,-84.593,9058.0
63701,37.345,-89.586,32331.0
60643,41.697,-87.661,52568.0
99026,47.806,-117.616,7500.0
98516,47.103,-122.799,14453.0
